,size,runtime
0,100.0,5.6681067943573
1,125.0,5.664205312728882
2,150.0,5.566038131713867
3,175.0,5.6344990730285645
4,200.0,5.288542747497559
5,225.0,5.459374666213989
6,250.0,5.274416446685791
7,275.0,7.507356405258179
8,300.0,6.112540006637573
9,325.0,8.523302555084229
10,350.0,6.045621633529663
11,375.0,6.4828715324401855
12,400.0,5.365896224975586
13,425.0,5.565991640090942
14,450.0,6.4392783641815186
15,475.0,7.58741569519043
16,500.0,5.509552240371704
17,525.0,7.405170679092407
18,550.0,5.225049018859863
19,575.0,7.093894004821777
20,600.0,8.914430618286133
21,625.0,13.238996744155884
22,650.0,14.231255531311035
23,675.0,10.027579069137573
24,700.0,5.998141765594482
25,725.0,8.068106174468994
26,750.0,8.667683124542236
27,775.0,10.512896299362183
28,800.0,5.273430347442627
29,825.0,5.338560342788696
30,850.0,5.146390676498413
31,875.0,5.062200546264648
32,900.0,5.133951663970947
33,925.0,5.098374843597412
34,950.0,5.228594064712524
35,975.0,5.430598974227905
36,1000.0,5.313465356826782
37,1025.0,4.971953392028809
38,1050.0,4.949765920639038
39,1075.0,5.342433452606201
40,1100.0,6.975353956222534
41,1125.0,7.8931190967559814
42,1150.0,8.032717943191528
43,1175.0,6.0397820472717285
44,1200.0,6.215184688568115
